"Groups","Posttest"
"Control",45.0115300503588
"Exp2",51.1305039635507
"Control",85.3124251875525
"Exp1",71.0730464449619
"Control",76.8484918464674
"Exp2",44.7261940191324
"Exp2",49.666278574528
"Control",43.1639361177274
"Exp1",71.2249393012074
"Exp1",79.3226515453962
"Control",42.468951006308
"Exp1",84.0354746734764
"Exp2",52.1531878064493
"Control",82.0795472927173
"Exp1",56.5829493986439
"Control",65.9741552023631
"Exp2",58.8669497464607
"Control",94.8447393665293
"Control",82.3893860376213
"Control",57.7402022085397
"Exp1",85.1282869212708
"Exp2",77.8963671017735
"Exp2",79.7723730261362
"Control",74.1974824344901
"Exp2",45.3412175855267
"Exp1",51.8572801982808
"Exp2",94.5465164222325
"Exp1",57.6059783509216
"Exp1",51.8893091539483
"Exp1",55.9288962440651
"Exp1",61.9451627515855
"Exp1",61.1641377156856
"Exp2",64.9598458977775
"Exp2",61.7702890624003
"Exp2",56.6171285239796
"Exp2",47.1668334299138
"Control",69.0433950130822
"Exp2",95.9081920524915
"Exp1",65.7445940641284
"Control",57.9685566700611
"Control",69.4093808509953
"Control",60.2070740854836
"Exp1",50.7862642759465
"Control",71.0039085153952
"Control",67.2332472602024
"Exp2",74.3586252680863
"Exp2",48.4660658918122
"Exp2",59.7185946611694
"Control",56.0451338933669
"Exp2",90.8963820029007
"Exp1",68.3044950346531
"Exp1",50.8996165933629
"Exp1",64.4627737398282
"Exp1",75.3580671801523
"Exp2",82.9220327029965
"Control",56.800048943838
"Exp1",79.1765075079255
"Exp2",41.2773054885692
"Exp2",66.4713684772712
"Control",41.415427464368
"Control",66.5816476256012
"Control",78.1896040109765
"Exp1",63.1583854844874
"Exp2",73.2212251875356
"Exp2",63.0007418035613
"Exp1",84.9092043558031
"Control",39.87329205279
"Exp2",59.377529466575
"Exp1",92.8222896030857
"Exp1",64.0915576479924
"Exp1",75.5252559530764
"Exp1",51.4916557685214
"Exp2",32.9208022119536
"Control",55.0764587213277
"Exp1",46.3780167031419
"Exp1",64.6033102305109
"Exp2",38.0423509662098
"Exp1",75.0868711591535
"Exp2",50.4829361215387
"Exp2",77.7571551185092
"Exp1",84.8175277746366
"Exp2",56.0659804092742
"Control",46.5738480241037
"Exp2",59.5598009048122
"Exp2",76.3922980273408
"Control",47.1175779323515
"Exp1",69.348477615027
"Exp1",78.0351223242227
"Control",66.0308545337502
"Control",70.0623479748072
"Exp2",52.4948087327971
"Exp1",64.3992007761338
"Control",71.8115495576682
"Control",85.76164353812
"Control",72.6030197582816
"Control",65.8417990432224
"Control",73.6121298788034
"Exp2",85.6630135573124
"Exp1",47.5036990451692
"Exp2",68.5893982099812
"Exp2",69.034418313686
"Control",76.324202843811
"Exp2",75.0493777682814
"Exp1",53.0123223469259
"Exp1",75.4804030304848
"Exp1",63.5833919106392
"Exp2",54.5242737300502
"Control",74.593570771456
"Control",72.1584227951175
"Control",90.8784533120882
"Control",72.5348743266648
"Exp2",60.6416860268364
"Control",63.6962432575371
"Exp1",72.7178977553986
"Exp2",67.3095366302092
"Exp1",83.7860458092127
"Exp1",55.7872433449226
"Control",48.9883989484765
"Exp1",45.4089682483287
"Exp2",81.71618767326
